Sample,B0VSB1_Cor,B0VSB1_P,B0VSmSCV2_Cor,B0VSmSCV2_P,B0VSpSCV2_Cor,B0VSpSCV2_P
9075,0.929345893369019,1.23054456462085e-05,0.69541679978071,1.23054456462085e-05,0.646786744578376,1.23054456462085e-05
9074,0.919231743055425,2.36089373959972e-05,0.579584565697206,2.36089373959972e-05,0.653186875375251,2.36089373959972e-05
9073,0.969355973382365,2.02147550062924e-07,0.542643219449215,2.02147550062924e-07,0.671334921255597,2.02147550062924e-07
9072,0.92408280303383,1.74659651191267e-05,0.686328961607122,1.74659651191267e-05,0.582590369754244,1.74659651191267e-05
9071,0.924337062241187,1.71829312263195e-05,0.491548893370348,1.71829312263195e-05,0.585882512825945,1.71829312263195e-05
9070,0.969425553213181,1.99886435254124e-07,0.561052206318584,1.99886435254124e-07,0.722947146546892,1.99886435254124e-07
9069,0.913367177310443,3.31818900273965e-05,0.75395038805171,3.31818900273965e-05,0.690685522668575,3.31818900273965e-05
9068,0.911168763955356,3.74689304937955e-05,0.59119282319151,3.74689304937955e-05,0.675819276886397,3.74689304937955e-05
9067,0.971782758528218,1.34365741811647e-07,0.552687006197203,1.34365741811647e-07,0.701595187165855,1.34365741811647e-07
9066,0.938038880575162,6.47830303215241e-06,0.512303113069811,6.47830303215241e-06,0.715086021592672,6.47830303215241e-06
9065,0.865630786545277,0.000274110013643399,0.724522976797807,0.000274110013643399,0.696190217942838,0.000274110013643399
9064,0.843847724102106,0.00055909357119719,0.379451305382381,0.00055909357119719,0.64507296638923,0.00055909357119719
9063,0.982174709609743,1.37558450490599e-08,0.71869536307231,1.37558450490599e-08,0.757663786357714,1.37558450490599e-08
9062,0.922672742075796,1.9103089870193e-05,0.658641610150735,1.9103089870193e-05,0.716800934466213,1.9103089870193e-05
9061,0.959913361612686,7.62095776486839e-07,0.586619589203345,7.62095776486839e-07,0.730746952189818,7.62095776486839e-07
9060,0.968416299002039,2.34728660845072e-07,0.485188512807759,2.34728660845072e-07,0.713583060517348,2.34728660845072e-07
9059,0.95671310695145,1.11285791160605e-06,0.647129003358974,1.11285791160605e-06,0.56943440039768,1.11285791160605e-06
9058,0.934797541391602,8.31343759878135e-06,0.702752969109658,8.31343759878135e-06,0.654152653883943,8.31343759878135e-06
9057,0.980507118844782,2.14520453423246e-08,0.624963164885065,2.14520453423246e-08,0.652380021573742,2.14520453423246e-08
9056,0.98153941959801,1.6370725525428e-08,0.556786614332283,1.6370725525428e-08,0.688529385648732,1.6370725525428e-08
9055,0.923348687922331,1.83038531517839e-05,0.376292133111783,1.83038531517839e-05,0.540458783626946,1.83038531517839e-05
9054,0.912290541839073,3.52301911735888e-05,0.669756175623506,3.52301911735888e-05,0.697269987667704,3.52301911735888e-05
9053,0.949867812412256,2.29190486698606e-06,0.57331673414994,2.29190486698606e-06,0.677185408557035,2.29190486698606e-06
9052,0.927783217864535,1.36910999510307e-05,0.535057066452706,1.36910999510307e-05,0.567538404363162,1.36910999510307e-05
9051,0.928655855670483,1.29029397493668e-05,0.628394438767888,1.29029397493668e-05,0.678085752343642,1.29029397493668e-05
9050,0.91817039946744,2.51554662976967e-05,0.664303437677906,2.51554662976967e-05,0.731636049363263,2.51554662976967e-05
9049,0.97378935028744,9.32335726320467e-08,0.693243662634947,9.32335726320467e-08,0.686997609346144,9.32335726320467e-08
